Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date_Time
12:04 AM,78.8,78.5,99,SSE,3.5,5,29.89,0,0,0,0,2023-11-18T04:04:00Z
12:09 AM,78.8,78.5,99,SSE,3.4,5,29.89,0,0,0,0,2023-11-18T04:09:00Z
12:14 AM,78.9,78.6,99,South,2,3.7,29.87,0,0,0,0,2023-11-18T04:14:00Z
12:19 AM,79.1,78.7,99,SE,3,4.8,29.87,0,0,0,0,2023-11-18T04:19:00Z
12:24 AM,79.2,78.9,99,SE,2.3,3.9,29.87,0,0,0,0,2023-11-18T04:24:00Z
12:29 AM,79.5,79.2,99,South,4.2,5.9,29.87,0,0,0,0,2023-11-18T04:29:00Z
12:34 AM,79.7,79.4,99,SSE,3.6,5.7,29.87,0,0,0,0,2023-11-18T04:34:00Z
12:39 AM,79.7,79.4,99,South,3.5,5.5,29.86,0,0,0,0,2023-11-18T04:39:00Z
12:44 AM,79.7,79.4,99,SE,2.8,5.5,29.86,0,0,0,0,2023-11-18T04:44:00Z
12:49 AM,79.7,79.4,99,SE,3.2,4.8,29.86,0,0,0,0,2023-11-18T04:49:00Z
12:54 AM,79.9,79.6,99,SW,6.3,10.2,29.86,0.12,0.02,0,0,2023-11-18T04:54:00Z
12:58 AM,79.9,79.6,99,South,3.7,6.3,29.86,0.12,0.02,0,0,2023-11-18T04:58:00Z
1:04 AM,79.9,79.6,99,SSW,4.1,6,29.86,0.12,0.02,0,0,2023-11-18T05:04:00Z
1:09 AM,79.9,79.6,99,SSW,4.8,9.1,29.86,0,0.02,0,0,2023-11-18T05:09:00Z
1:14 AM,79.9,79.6,99,SSE,2.9,5,29.86,0,0.02,0,0,2023-11-18T05:14:00Z
1:18 AM,79.9,79.6,99,South,5.6,8.3,29.86,0,0.02,0,0,2023-11-18T05:18:00Z
1:24 AM,79.9,79.6,99,SSW,4.4,7.6,29.86,0,0.02,0,0,2023-11-18T05:24:00Z
1:29 AM,79.9,79.6,99,South,5.4,8.7,29.85,0.05,0.03,0,0,2023-11-18T05:29:00Z
1:34 AM,79.7,79.4,99,SW,7.1,11.2,29.85,0.05,0.03,0,0,2023-11-18T05:34:00Z
1:39 AM,79.6,79.3,99,East,4.9,6.9,29.85,0.05,0.03,0,0,2023-11-18T05:39:00Z
1:44 AM,79.5,79.2,99,SSE,4,6,29.85,0,0.03,0,0,2023-11-18T05:44:00Z
1:49 AM,79.5,79.2,99,South,3,4.8,29.84,0,0.03,0,0,2023-11-18T05:49:00Z
1:54 AM,79.6,79.3,99,SSE,5.3,7.5,29.84,0,0.03,0,0,2023-11-18T05:54:00Z
1:59 AM,79.7,79.4,99,SSE,5.5,8.2,29.84,0.24,0.07,0,0,2023-11-18T05:59:00Z
2:03 AM,79.1,78.8,99,SSE,6.1,10,29.84,0.31,0.08,0,0,2023-11-18T06:03:00Z
2:09 AM,77.8,77.5,99,SE,6.4,9.3,29.84,0.24,0.1,0,0,2023-11-18T06:09:00Z
2:14 AM,77,76.7,99,South,3.2,4.3,29.84,0.19,0.11,0,0,2023-11-18T06:14:00Z
2:19 AM,76.7,76.4,99,SSW,2.6,3.6,29.84,0.47,0.16,0,0,2023-11-18T06:19:00Z
2:22 AM,76.6,76.3,99,ENE,1.1,1.5,29.83,0.35,0.16,0,0,2023-11-18T06:22:00Z
2:29 AM,77.1,76.8,99,WNW,2.2,3.9,29.83,0,0.16,0,0,2023-11-18T06:29:00Z
2:34 AM,77.6,77.3,99,SE,5,9,29.84,0.12,0.18,0,0,2023-11-18T06:34:00Z
2:39 AM,77.2,76.8,99,East,4.9,7.2,29.84,0.12,0.18,0,0,2023-11-18T06:39:00Z
2:44 AM,77,76.7,99,SE,4.3,6.4,29.84,0.12,0.18,0,0,2023-11-18T06:44:00Z
2:49 AM,77,76.7,99,South,3.1,5.3,29.84,0.19,0.21,0,0,2023-11-18T06:49:00Z
2:54 AM,77.1,76.8,99,East,2.4,4.3,29.83,0.9,0.34,0,0,2023-11-18T06:54:00Z
2:59 AM,77.3,77,99,East,1.7,2.9,29.83,0.9,0.37,0,0,2023-11-18T06:59:00Z
3:04 AM,77.7,77.4,99,WSW,1.8,3,29.83,0.85,0.38,0,0,2023-11-18T07:04:00Z
3:09 AM,78.1,77.8,99,South,3.9,5.1,29.83,0.71,0.49,0,0,2023-11-18T07:09:00Z
3:14 AM,78.3,78,99,South,2.1,4.6,29.83,1.09,0.56,0,0,2023-11-18T07:14:00Z
3:19 AM,78.5,78.2,99,SW,5.3,7.8,29.82,1.09,0.56,0,0,2023-11-18T07:19:00Z
3:24 AM,78.6,78.3,99,SSE,2.8,5.3,29.82,0.12,0.56,0,0,2023-11-18T07:24:00Z
3:29 AM,78.8,78.5,99,SSW,5.4,7.8,29.83,0,0.56,0,0,2023-11-18T07:29:00Z
3:34 AM,79,78.7,99,South,5.6,8.7,29.82,0.05,0.57,0,0,2023-11-18T07:34:00Z
3:39 AM,79,78.7,99,SSE,4.9,9,29.82,0.05,0.57,0,0,2023-11-18T07:39:00Z
3:44 AM,79,78.7,99,South,5.8,9.4,29.82,0,0.57,0,0,2023-11-18T07:44:00Z
3:49 AM,79,78.7,99,NNE,4.2,6.7,29.82,0,0.57,0,0,2023-11-18T07:49:00Z
3:54 AM,79.1,78.8,99,SW,4.5,8,29.82,0,0.57,0,0,2023-11-18T07:54:00Z
3:59 AM,79,78.7,99,SSW,3.9,6.4,29.83,0,0.57,0,0,2023-11-18T07:59:00Z
4:04 AM,79,78.7,99,SSW,4,5.4,29.83,0,0.57,0,0,2023-11-18T08:04:00Z
4:09 AM,79.2,78.9,99,SSW,2.6,4.3,29.84,0,0.57,0,0,2023-11-18T08:09:00Z
4:14 AM,79.2,78.9,99,SSE,4.2,8.5,29.83,0,0.57,0,0,2023-11-18T08:14:00Z
4:19 AM,79.2,78.9,99,SSE,4.5,6.2,29.83,0,0.57,0,0,2023-11-18T08:19:00Z
4:24 AM,79.3,79,99,SSW,4.6,6.8,29.83,0,0.57,0,0,2023-11-18T08:24:00Z
4:29 AM,79.3,79,99,South,4.3,6.7,29.83,0,0.57,0,0,2023-11-18T08:29:00Z
4:34 AM,79.2,78.9,99,SSW,4.6,7.1,29.83,0,0.57,0,0,2023-11-18T08:34:00Z
4:39 AM,79.2,78.9,99,SSW,4.1,5.5,29.83,0,0.57,0,0,2023-11-18T08:39:00Z
4:44 AM,79.2,78.9,99,South,4.5,6.9,29.83,0,0.57,0,0,2023-11-18T08:44:00Z
4:49 AM,79.2,78.9,99,South,5.6,8.1,29.84,0,0.57,0,0,2023-11-18T08:49:00Z
4:54 AM,79.3,79,99,SW,3.9,6,29.84,0,0.57,0,0,2023-11-18T08:54:00Z
4:59 AM,79.3,79,99,SW,3.1,4.5,29.83,0,0.57,0,0,2023-11-18T08:59:00Z
5:04 AM,79.5,79.2,99,SSW,4,5.2,29.83,0,0.57,0,0,2023-11-18T09:04:00Z
5:09 AM,79.5,79.2,99,SSW,4.9,6.4,29.84,0,0.57,0,0,2023-11-18T09:09:00Z
5:14 AM,79.6,79.3,99,SSW,6.2,7.3,29.84,0,0.57,0,0,2023-11-18T09:14:00Z
5:19 AM,79.7,79.4,99,SSW,5.3,7.4,29.85,0,0.57,0,0,2023-11-18T09:19:00Z
5:24 AM,79.7,79.1,98,SSW,4.7,6.2,29.84,0,0.57,0,0,2023-11-18T09:24:00Z
5:29 AM,79.8,79.2,98,SSW,5.4,7.2,29.85,0,0.57,0,0,2023-11-18T09:29:00Z
5:34 AM,80,79.4,98,SSW,6.4,8.7,29.84,0,0.57,0,0,2023-11-18T09:34:00Z
5:39 AM,80.1,79.2,97,SSW,5.1,7.1,29.84,0,0.57,0,0,2023-11-18T09:39:00Z
5:44 AM,80.3,79.4,97,SSW,7.3,9,29.85,0,0.57,0,0,2023-11-18T09:44:00Z
