Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Date_Time
12:04 AM,82.4,80.8,95,SE,2.3,4.1,30.05,0,0,0,0,2023-11-18T04:04:00Z
12:09 AM,82.4,80.8,95,ESE,4.1,6.7,30.05,0,0,0,0,2023-11-18T04:09:00Z
12:14 AM,82.4,80.8,95,East,4,6.9,30.04,0,0,0,0,2023-11-18T04:14:00Z
12:19 AM,82.4,80.8,95,East,3.9,6,30.04,0,0,0,0,2023-11-18T04:19:00Z
12:24 AM,82.5,80.9,95,ESE,2.7,4.3,30.04,0,0,0,0,2023-11-18T04:24:00Z
12:29 AM,82.5,80.9,95,South,2.7,4.1,30.04,0,0,0,0,2023-11-18T04:29:00Z
12:34 AM,82.3,81,96,SE,3.5,6.3,30.03,0.24,0.04,0,0,2023-11-18T04:34:00Z
12:38 AM,82,80.8,96,ENE,3.7,6.1,30.03,0.24,0.04,0,0,2023-11-18T04:38:00Z
12:42 AM,81.7,80.7,97,NE,1.4,2.6,30.04,0.24,0.04,0,0,2023-11-18T04:42:00Z
12:49 AM,81.5,80.5,97,ESE,3,4.3,30.03,0.07,0.05,0,0,2023-11-18T04:49:00Z
12:54 AM,80.9,79.8,97,East,1.8,3.1,30.02,0.26,0.08,0,0,2023-11-18T04:54:00Z
12:59 AM,81.2,80.2,97,ESE,2.4,4.3,30.03,0.26,0.08,0,0,2023-11-18T04:59:00Z
1:03 AM,81.7,80.7,97,ENE,2.1,4.3,30.03,0.19,0.08,0,0,2023-11-18T05:03:00Z
1:09 AM,81.6,80.7,97,SE,2.2,4,30.02,0.12,0.1,0,0,2023-11-18T05:09:00Z
1:14 AM,81.3,80.4,97,East,2.1,3.6,30.02,0.12,0.1,0,0,2023-11-18T05:14:00Z
1:19 AM,81.3,80.4,97,ENE,1.7,3.4,30.02,0.12,0.1,0,0,2023-11-18T05:19:00Z
1:24 AM,81.3,80.4,97,ENE,3.1,5.4,30.03,0,0.1,0,0,2023-11-18T05:24:00Z
1:29 AM,81.5,80.3,96,East,2.5,4.8,30.02,0,0.1,0,0,2023-11-18T05:29:00Z
